,case_number,occured_on,neighborhood,hour of day,year,month,motivation,latitude,longitude
148,22027264,2022-06-23 22:18:21,Scripps Ranch,22,2022,6,Sexual Orientation,32.917902676194615,-117.07754537895109
149,22043518,2022-10-07 07:50:00,Clairemont Mesa East,7,2022,10,Race,32.8308694978077,-117.17724181017776
150,22019637,2022-05-05 15:15:26,Tierra Santa,15,2022,5,Sexual Orientation,32.823145378600486,-117.10094856965956
151,23012975,2023-03-26 01:15:05,College East,1,2023,3,Religion,32.77076493283751,-117.06877292930126
152,22039944,2022-09-14 20:00:00,Mission Valley West,20,2022,9,Race,32.76956812182106,-117.16959262134446
153,21002911,2021-01-17 09:21:00,Grantville,9,2021,1,Race,32.78202564884327,-117.10160383927044
154,22033872,2022-08-06 11:26:51,Park West,11,2022,8,Religion,32.726138363001525,-117.1639007033244
155,22054991,2022-12-20 23:30:51,Cortez,23,2022,12,Gender,32.72203473571417,-117.15936687715411
156,20013284,2020-03-03 15:34:00,Mission Valley East,15,2020,3,Anti-Transgender,32.766957140711185,-117.15331492932005
157,22603800,2022-03-16 12:00:00,San Carlos,12,2022,3,Race,32.80789446664882,-117.04665443463468
158,20054204,2020-11-02 03:01:00,North Park,3,2020,11,Sexual Orientation,32.74847856910068,-117.12519752023093
159,20000531,2020-01-02 21:30:00,North Park,21,2020,1,Sexual Orientation,32.75414080892391,-117.12899707578946
160,20038279,2020-08-02 14:32:48,Colina Del Sol,14,2020,8,Race,,
161,23029770,2023-07-10 06:30:00,Rancho Penasquitos,6,2023,7,Sexual Orientation,32.90499470051197,-117.08473055369764
162,20056454,2020-11-14 17:27:05,Miramar,17,2020,11,Race,32.88208078497445,-117.15616824156535
163,22021656,2022-05-18 19:22:02,Mira Mesa,19,2022,5,Race,32.92873975834423,-117.12929612185268
164,23012064,2023-03-19 15:00:00,Tierra Santa,15,2023,3,Race,32.830824600582176,-117.10889037764048
165,22016894,2022-04-17 21:40:00,Point Loma Heights,21,2022,4,Race/Gender,32.75379683875477,-117.22356609121591
166,21002105,2021-01-13 18:27:20,Core-Columbia,18,2021,1,Race,32.71682026187978,-117.16023383449289
167,22025796,2022-06-14 12:27:00,Mission Valley East,12,2022,6,Sexual Orientation,32.77564034570071,-117.15402675303918
168,22026593,2022-06-19 15:46:28,Hillcrest,15,2022,6,Race,32.748426525607954,-117.15526573718736
169,22012649,2022-03-23 13:40:00,Miramar Ranch North,13,2022,3,Race,32.93742757512188,-117.1017508964802
170,21029244,2021-05-12 12:00:00,Serra Mesa,12,2021,6,Race,32.829170304087384,-117.1199445134871
171,20036175,2020-07-21 04:45:34,Pacific Beach,4,2020,7,Race,32.796330196019035,-117.25675657266116
172,23003258,2023-01-23 10:29:00,Golden Hill,10,2023,1,Religion,32.71478781419081,-117.1466385402091
173,23038526,2023-09-05 15:58:47,Golden Hill,15,2023,9,Sexual Orientation,32.7180073585655,-117.12954104063758
